#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,11793018,1,0.576824,0.88,0.3,0.39,1.265,65,0.0,-1.11,2
,11794976,5,0.36383,0.44,0.15,0.16,0.885,241,0.99,4.5,2
,11797881,1,0.623507,0.94,0.34,0.47,2.405,258,-0.45,-1.33,1
,11800317,1,0.483017,0.93,0.33,0.44,3.15,163,-0.44,-1.28,1
,11803527,5,0.380878,0.4,0.13,0.17,2.109,259,0.35,0.08,2
,11806061,1,0.57848,0.53,0.17,0.22,1.369,239,-0.47,-0.73,1
,11808279,5,0.298163,0.4,0.13,0.16,1.618,202,0.64,-0.84,1
,11810596,5,0.299618,0.44,0.15,0.19,0.82,205,0.16,-1.14,1
,11819015,5,0.249141,0.65,0.21,0.23,1.032,218,1.05,0.39,1
,11819661,5,0.348882,0.31,0.1,0.13,2.255,218,0.46,0.19,2
,11834821,5,0.239371,0.5,0.17,0.24,1.448,116,0.54,-1.07,1
,11838018,5,0.275943,0.33,0.11,0.13,0.61,225,0.56,-0.19,1
,11843692,1,0.599525,0.94,0.29,0.32,1.799,224,-0.47,-0.77,1
,11856290,5,0.493189,0.41,0.11,0.09,0.84,303,1.93,3.27,2
,11857301,1,0.550269,0.7,0.2,0.17,2.042,269,-1.22,1.61,1
,11863356,5,0.269104,0.37,0.12,0.15,0.978,249,0.54,-0.43,1
,11864180,1,0.553184,0.69,0.22,0.26,0.828,236,-0.41,-0.39,1
,11864369,6,0.079198,0.49,0.15,0.16,0.728,243,-0.67,0.02,1
,11864431,1,0.636493,0.38,0.13,0.17,1.071,219,0.4,-0.89,1
,11866538,5,0.280694,0.39,0.13,0.17,0.985,265,0.54,-0.87,1
,11870305,5,0.277496,0.48,0.18,0.22,0.523,76,0.92,0.94,3
,11882477,5,0.338429,0.39,0.12,0.14,1.229,198,0.31,-0.83,1
,11885245,0,0.435327,0.38,0.11,0.1,1.137,163,-0.47,-0.33,1
,11887989,1,0.548304,0.9,0.28,0.33,1.071,227,-0.16,-1.0,1
,11896841,1,0.460525,1.07,0.34,0.39,1.672,208,-0.67,-0.67,1
,11898573,2,0.274125,0.64,0.21,0.22,1.379,173,0.29,0.06,2
,11905739,2,0.311349,0.42,0.14,0.19,1.483,206,-0.27,-1.3,1
,11912411,1,0.518369,0.82,0.26,0.32,1.258,192,-0.26,-0.84,1
,11917874,5,0.302093,0.42,0.19,0.18,1.298,219,4.91,45.08,1
,11920805,0,-9.9,0.43,0.13,0.14,0.512,146,0.05,-0.35,1
,11922992,1,0.600678,0.62,0.2,0.24,2.07,193,-0.41,-1.03,1
,11925135,5,0.253689,0.46,0.15,0.16,1.784,228,1.01,0.36,1
,11929402,1,0.561059,0.87,0.28,0.29,0.928,209,0.1,0.18,1
,11932308,5,0.362721,0.28,0.1,0.14,1.355,243,0.29,-1.23,2
,11933667,1,0.76557,0.41,0.13,0.16,2.257,257,-0.2,-0.93,2
,11934810,1,0.48214,0.93,0.3,0.34,1.698,231,-0.59,-0.58,1
,11936793,5,0.344411,0.83,0.25,0.2,0.495,231,1.5,2.65,1
,11937119,6,0.079796,0.54,0.16,0.16,0.674,207,-0.77,1.17,1
,11939634,0,-9.9,0.39,0.12,0.13,0.507,157,-0.3,0.33,1
,11941505,4,0.343264,0.54,0.16,0.09,0.548,212,1.92,3.19,2
,11942032,1,0.67759,0.78,0.24,0.28,1.429,203,-0.47,-0.72,1
,11949036,1,0.573166,0.82,0.27,0.32,1.31,204,-0.2,-1.01,1
,11953092,2,0.323152,0.38,0.13,0.16,1.578,256,-0.24,-0.93,1
,11957623,5,0.300032,0.82,0.27,0.31,1.51,230,0.81,-0.6,1
,11960127,5,0.258189,0.47,0.15,0.17,0.707,217,0.5,-0.42,1
,11963916,5,0.937615,0.56,0.19,0.19,1.197,233,1.69,2.57,2
,11964431,5,0.257077,0.46,0.16,0.2,1.906,230,0.6,-0.28,1
,11968367,1,0.631999,0.47,0.15,0.19,0.982,215,-0.11,-0.93,1
,11969582,1,0.529887,0.62,0.2,0.21,1.618,210,-0.78,0.28,1
,11970309,5,0.361062,0.38,0.13,0.17,0.938,204,0.35,-0.89,1
,11972638,1,0.620085,0.37,0.12,0.14,2.036,176,-0.3,-0.7,1
,11973551,5,0.261081,0.36,0.12,0.15,0.933,176,0.75,0.03,1
,11975715,5,0.342885,0.34,0.1,0.12,0.576,147,0.48,0.01,1
,11982872,5,0.310316,0.43,0.14,0.18,1.471,167,0.57,-0.98,1
,11986645,1,0.551099,0.57,0.19,0.22,0.533,213,0.03,-0.57,1
,11992284,1,0.444902,0.91,0.29,0.34,2.712,256,-0.9,-0.42,1
,11992531,5,0.27885,0.34,0.11,0.14,0.959,249,0.37,-0.61,1
,12005595,1,0.489623,0.7,0.23,0.29,2.471,178,-0.9,-0.56,1
,12014625,2,0.338952,0.46,0.15,0.19,0.756,223,0.11,-0.88,1
,12019667,1,0.484075,0.88,0.27,0.3,2.562,249,-1.08,-0.03,1
,12021791,5,0.238027,0.36,0.12,0.16,1.238,211,0.48,-0.79,1
,12028462,1,0.602135,0.38,0.12,0.15,2.082,226,-0.68,-0.57,1
,12030800,1,0.577533,0.74,0.25,0.29,1.137,251,-0.02,-0.44,1
,12031948,1,0.604078,0.76,0.24,0.25,2.667,209,-0.18,-0.14,1
,12035870,1,0.60365,0.64,0.21,0.26,1.653,244,-0.07,-1.15,1
